,start_hour,origin_nta,destination_nta,travel_counts,duration_minutes,arrival_rate
0,0,MN03,Others,6,42.333333333333336,0.024
1,0,MN04,Others,5,63.6,0.016
2,0,MN09,Others,8,59.5,0.017
3,0,MN12,Others,6,33.166666666666664,0.03
4,0,MN13,Others,12,59.75,0.017
5,0,MN14,Others,5,49.0,0.02
6,0,MN15,Others,9,36.111111111111114,0.028
7,0,MN17,Others,63,60.301587301587304,0.017
8,0,MN19,Others,19,65.0,0.015
9,0,MN20,Others,9,50.666666666666664,0.02
10,0,MN21,Others,6,38.833333333333336,0.026
11,0,MN23,Others,14,59.285714285714285,0.017
12,0,MN24,Others,19,50.473684210526315,0.02
13,0,MN25,Others,28,49.357142857142854,0.02
14,0,MN27,Others,6,36.333333333333336,0.028
15,0,MN31,Others,9,51.888888888888886,0.019
16,0,MN33,Others,7,53.42857142857143,0.019
17,0,MN34,Others,11,57.63636363636363,0.017
18,0,MN36,Others,6,45.0,0.022
19,0,MN40,Others,14,72.42857142857143,0.014
20,0,MN99,Others,6,59.166666666666664,0.017
21,0,Others,MN09,10,51.1,0.02
22,0,Others,MN12,6,66.83333333333333,0.015
23,0,Others,MN13,9,54.22222222222222,0.018
24,0,Others,MN17,8,64.0,0.016
25,0,Others,MN23,8,52.0,0.019
26,0,Others,MN24,7,49.857142857142854,0.02
27,0,Others,MN31,6,34.5,0.029
28,0,Others,MN32,5,58.8,0.017
29,0,Others,MN33,5,38.2,0.026
30,0,Others,MN35,8,45.625,0.022
31,0,Others,MN40,5,61.4,0.016
32,0,Others,Others,58,57.827586206896555,0.017
33,1,MN17,Others,12,70.41666666666667,0.014
34,1,MN19,Others,6,51.166666666666664,0.02
35,1,MN25,Others,5,74.4,0.013
36,1,Others,MN33,5,59.2,0.017
37,1,Others,Others,17,61.529411764705884,0.016
38,2,MN17,Others,9,62.55555555555556,0.016
39,2,MN25,Others,5,67.8,0.015
40,2,Others,MN17,5,52.0,0.019
41,2,Others,Others,7,28.285714285714285,0.035
42,3,MN01,Others,6,44.5,0.022
43,3,MN03,Others,14,22.5,0.044
44,3,MN09,Others,6,51.333333333333336,0.019
45,3,MN11,Others,5,26.6,0.038
46,3,MN12,Others,8,45.0,0.022
